lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-11-13 18:37:17.492405,0.004078373312950134,2.305632187926676e-05,0.004078373312950134,1299.0,4.0,,,,,,,,,
0.005,2022-11-13 18:38:05.654352,,,,,,,,,,,,,,
,2022-11-13 18:38:06.631435,0.2843313217163086,0.0012085280613973737,0.2843313217163086,1349.0,4.0,,,,,,,,,
0.005,2022-11-13 18:38:54.691012,,,,,,,,,,,,,,
,2022-11-13 18:38:55.665259,0.23413483798503876,0.0008436331991106272,0.23413483798503876,1399.0,4.0,,,,,,,,,
0.005,2022-11-13 18:39:43.644449,,,,,,,,,,,,,,
,2022-11-13 18:39:44.621736,0.263982355594635,0.0010568508878350258,0.263982355594635,1449.0,4.0,,,,,,,,,
0.005,2022-11-13 18:40:32.585885,,,,,,,,,,,,,,
,2022-11-13 18:41:25.394366,0.17295339703559875,0.0005734784645028412,0.17295339703559875,1499.0,4.0,,,,,,,,,
,2022-11-13 18:44:06.767944,,,,,4.0,0.3037054240703583,0.002890070201829076,0.3037054240703583,0.012927141971886158,6.0421258240239695e-05,0.012927141971886158,,,
,2022-11-13 18:44:06.845332,,,,,4.0,,,,,,,0.15719032287597656,0.002502256538718939,0.15719032287597656
0.005,2022-11-13 18:44:57.387172,,,,,,,,,,,,,,
,2022-11-13 18:44:58.355900,0.004052258096635342,2.2975107640377246e-05,0.004052258096635342,1549.0,5.0,,,,,,,,,
0.005,2022-11-13 18:45:46.360496,,,,,,,,,,,,,,
,2022-11-13 18:45:47.337358,0.2339237928390503,0.0008754534064792097,0.2339237928390503,1599.0,5.0,,,,,,,,,
0.005,2022-11-13 18:46:35.599492,,,,,,,,,,,,,,
,2022-11-13 18:46:36.573403,0.15056371688842773,0.0004947648849338293,0.15056371688842773,1649.0,5.0,,,,,,,,,
0.005,2022-11-13 18:47:24.693320,,,,,,,,,,,,,,
,2022-11-13 18:47:25.687249,0.0028147129341959953,1.700317625363823e-05,0.0028147129341959953,1699.0,5.0,,,,,,,,,
0.005,2022-11-13 18:48:13.764794,,,,,,,,,,,,,,
,2022-11-13 18:48:14.747261,0.05631118267774582,0.00020597153343260288,0.05631118267774582,1749.0,5.0,,,,,,,,,
0.005,2022-11-13 18:49:02.720471,,,,,,,,,,,,,,
,2022-11-13 18:49:03.698685,0.14572902023792267,0.0004787299258168787,0.14572902023792267,1799.0,5.0,,,,,,,,,
,2022-11-13 18:49:09.369452,,,,,5.0,0.417925626039505,0.14936797320842743,0.417925626039505,0.18150196969509125,0.0008605583570897579,0.18150196969509125,,,
,2022-11-13 18:49:09.500046,,,,,5.0,,,,,,,0.15315379202365875,0.001815197290852666,0.15315379202365875
0.005,2022-11-13 18:50:01.261168,,,,,,,,,,,,,,
,2022-11-13 18:50:02.234249,0.12955039739608765,0.0004269118944648653,0.12955039739608765,1849.0,6.0,,,,,,,,,
0.005,2022-11-13 18:50:50.221059,,,,,,,,,,,,,,
,2022-11-13 18:50:51.201493,0.11558017134666443,0.0003838286211248487,0.11558017134666443,1899.0,6.0,,,,,,,,,
0.005,2022-11-13 18:51:39.525004,,,,,,,,,,,,,,
,2022-11-13 18:51:40.507244,0.5583785772323608,0.008461692370474339,0.5583785772323608,1949.0,6.0,,,,,,,,,
0.005,2022-11-13 18:52:28.771246,,,,,,,,,,,,,,
,2022-11-13 18:53:21.508413,0.30954819917678833,0.001671771053224802,0.30954819917678833,1999.0,6.0,,,,,,,,,
0.005,2022-11-13 18:54:09.753542,,,,,,,,,,,,,,
,2022-11-13 18:54:10.739451,0.39961227774620056,0.003386658150702715,0.39961227774620056,2049.0,6.0,,,,,,,,,
0.005,2022-11-13 18:54:58.918774,,,,,,,,,,,,,,
,2022-11-13 18:54:59.888933,0.19330459833145142,0.0006481420714408159,0.19330459833145142,2099.0,6.0,,,,,,,,,
,2022-11-13 18:55:05.567973,,,,,6.0,0.028359925374388695,0.00011014161282218993,0.028359925374388695,0.20362167060375214,0.0028984444215893745,0.20362167060375214,,,
,2022-11-13 18:55:05.669394,,,,,6.0,,,,,,,0.16591161489486694,0.006616400554776192,0.16591161489486694
0.005,2022-11-13 18:55:56.190955,,,,,,,,,,,,,,
,2022-11-13 18:55:57.165391,0.01220317929983139,5.901531403651461e-05,0.01220317929983139,2149.0,7.0,,,,,,,,,
0.005,2022-11-13 18:56:45.104030,,,,,,,,,,,,,,
,2022-11-13 18:56:46.077619,0.06488993018865585,0.00023015635088086128,0.06488993018865585,2199.0,7.0,,,,,,,,,
0.005,2022-11-13 18:57:34.289904,,,,,,,,,,,,,,
,2022-11-13 18:57:35.272160,0.2541273236274719,0.0009527472429908812,0.2541273236274719,2249.0,7.0,,,,,,,,,
0.005,2022-11-13 18:58:23.380576,,,,,,,,,,,,,,
,2022-11-13 18:58:24.351515,0.002445633988827467,1.4858508620818611e-05,0.002445633988827467,2299.0,7.0,,,,,,,,,
0.005,2022-11-13 18:59:12.323998,,,,,,,,,,,,,,
,2022-11-13 18:59:13.302550,0.00814133696258068,4.134408663958311e-05,0.00814133696258068,2349.0,7.0,,,,,,,,,
0.005,2022-11-13 19:00:01.210732,,,,,,,,,,,,,,
,2022-11-13 19:00:02.189985,0.1805645227432251,0.0006027626805007458,0.1805645227432251,2399.0,7.0,,,,,,,,,
,2022-11-13 19:00:08.772532,,,,,7.0,0.18842299282550812,0.0007497912738472223,0.18842299282550812,0.21998588740825653,0.0010836835717782378,0.21998588740825653,,,
,2022-11-13 19:00:08.890619,,,,,7.0,,,,,,,0.15067845582962036,0.003339669667184353,0.15067845582962036
0.005,2022-11-13 19:00:59.519419,,,,,,,,,,,,,,
,2022-11-13 19:01:00.489824,0.23006288707256317,0.000849387957714498,0.23006288707256317,2449.0,8.0,,,,,,,,,
0.005,2022-11-13 19:01:48.355747,,,,,,,,,,,,,,
,2022-11-13 19:02:41.763190,0.013443125411868095,6.436597323045135e-05,0.013443125411868095,2499.0,8.0,,,,,,,,,
0.005,2022-11-13 19:03:30.426725,,,,,,,,,,,,,,
,2022-11-13 19:03:31.408333,0.21883295476436615,0.0007750398945063353,0.21883295476436615,2549.0,8.0,,,,,,,,,
0.005,2022-11-13 19:04:19.418004,,,,,,,,,,,,,,
,2022-11-13 19:04:20.385023,0.0075947679579257965,3.89044544135686e-05,0.0075947679579257965,2599.0,8.0,,,,,,,,,
0.005,2022-11-13 19:05:08.570833,,,,,,,,,,,,,,
,2022-11-13 19:05:09.547113,0.07702422887086868,0.00026725773932412267,0.07702422887086868,2649.0,8.0,,,,,,,,,
0.005,2022-11-13 19:05:57.672832,,,,,,,,,,,,,,
,2022-11-13 19:05:58.644511,0.4138855040073395,0.003958041779696941,0.4138855040073395,2699.0,8.0,,,,,,,,,
,2022-11-13 19:06:04.270328,,,,,8.0,0.05013059452176094,0.00018297268252354115,0.05013059452176094,0.017928676679730415,7.531524897785857e-05,0.017928676679730415,,,
,2022-11-13 19:06:04.385944,,,,,8.0,,,,,,,0.16078819334506989,0.0018096333369612694,0.16078819334506989
0.005,2022-11-13 19:06:54.867323,,,,,,,,,,,,,,
,2022-11-13 19:06:55.835825,0.0031724702566862106,1.8594582797959447e-05,0.0031724702566862106,2749.0,9.0,,,,,,,,,
0.005,2022-11-13 19:07:43.776197,,,,,,,,,,,,,,
,2022-11-13 19:07:44.753554,0.3231864273548126,0.001533650211058557,0.3231864273548126,2799.0,9.0,,,,,,,,,
0.005,2022-11-13 19:08:33.054074,,,,,,,,,,,,,,
,2022-11-13 19:08:34.037244,0.1500752866268158,0.0004933945601806045,0.1500752866268158,2849.0,9.0,,,,,,,,,
0.005,2022-11-13 19:09:22.155846,,,,,,,,,,,,,,
,2022-11-13 19:09:23.129840,0.061808086931705475,0.00022240828548092395,0.061808086931705475,2899.0,9.0,,,,,,,,,
0.005,2022-11-13 19:10:11.240091,,,,,,,,,,,,,,
,2022-11-13 19:10:12.217435,0.25716322660446167,0.0009981291368603706,0.25716322660446167,2949.0,9.0,,,,,,,,,
0.005,2022-11-13 19:11:00.181869,,,,,,,,,,,,,,
,2022-11-13 19:11:53.092059,0.01577002741396427,7.268094486789778e-05,0.01577002741396427,2999.0,9.0,,,,,,,,,
,2022-11-13 19:14:33.922275,,,,,9.0,0.16152001917362213,0.000598218641243875,0.16152001917362213,0.09026896208524704,0.00031575668253935874,0.09026896208524704,,,
,2022-11-13 19:14:34.006462,,,,,9.0,,,,,,,0.14782732725143433,0.004357479512691498,0.14782732725143433
0.005,2022-11-13 19:15:24.491940,,,,,,,,,,,,,,
